#	SDAX
1	AAD.DE
2	ADJ.DE
3	ADL.DE
4	AOX.DE
5	BDT.DE
6	BIO3.DE
7	BMSA.DE
8	BVB.DE
9	BYW6.DE
10	CAP.DE
11	COM.DE
12	CWC.DE
13	DBAN.DE
14	DEZ.DE
15	DIC.DE
16	FRU.DE
17	GFK.DE
18	GLJ.DE
19	GMM.DE
20	GSC1.DE
21	GWI1.DE
22	HAB.DE
23	HBH.DE
24	HBM.DE
25	HDD.DE
26	HHFA.DE
27	INH.DE
28	KWS.DE
29	LNSX.DE
30	MLP.DE
31	P1Z.DE
32	PUM.DE
33	RAA.DE
34	SAX.DE
35	SFQ.DE
36	SGL.DE
37	SIX2.DE
38	SKB.DE
39	SLT.DE
40	SGM.DE
41	SW1.DE
42	TC1.DE
43	TIM.DE
44	TLG.DE
45	TTI.DE
46	TTK.DE
47	VOS.DE
48	VT9.DE
49	WAC.DE
50	ZO1.DE
