^STI.1	A17U.SI
^STI.2	BN4.SI
^STI.3	BS6.SI
^STI.4	C07.SI
^STI.5	C09.SI
^STI.6	C31.SI
^STI.7	C38U.SI
^STI.8	C52.SI
^STI.9	C6L.SI
^STI.10	CC3.SI
^STI.11	D05.SI
^STI.12	E5H.SI
^STI.13	F34.SI
^STI.14	G13.SI
^STI.15	H78.SI
^STI.16	MC0.SI
^STI.17	N21.SI
^STI.18	NS8U.SI
^STI.19	O39.SI
^STI.20	S51.SI
^STI.21	S58.SI
^STI.22	S59.SI
^STI.23	S63.SI
^STI.24	S68.SI
^STI.25	T39.SI
^STI.26	U11.SI
^STI.27	U14.SI
^STI.28	U96.SI
^STI.29	Y92.SI
^STI.30	Z77.SI
