# Wiki Link	Stock Symbol	Company Name
DAX1	DAX
DAX2	ADS.DE
DAX3	ALV.DE
DAX4	BAS.DE
DAX5	BAYN.DE
DAX6	BEI.DE
DAX7	BMW.DE
DAX8	CBK.DE
DAX9	CON.DE
DAX10	DAI.DE
DAX11	DB1.DE
DAX12	DBK.DE
DAX13	DPW.DE
DAX14	DTE.DE
DAX15	EOAN.DE
DAX16	FME.DE
DAX17	FRE.DE
DAX18	HEI.DE
DAX19	HEN3.DE
DAX20	IFX.DE
DAX21	LHA.DE
DAX22	LIN.DE
DAX23	MRK.DE
DAX24	MUV2.DE
DAX25	RWE.DE
DAX26	SAP.DE
DAX27	SDF.DE
DAX28	SIE.DE
DAX29	TKA.DE
DAX30	VNA.DE
DAX31	VOW3.DE
