Category: All categories

Month,Apache Kudu: (Worldwide),OpenTSDB: (Worldwide),VoltDB: (Worldwide),operational database: (Worldwide),Apache HBase: (Worldwide)
2004-01,0,0,0,87,0
2004-02,0,0,0,58,0
2004-03,0,0,0,36,0
2004-04,0,0,0,55,0
2004-05,0,0,0,60,0
2004-06,0,0,0,24,0
2004-07,0,0,0,100,0
2004-08,0,0,0,93,0
2004-09,0,0,0,32,0
2004-10,0,0,0,65,0
2004-11,0,0,0,55,0
2004-12,0,0,0,41,0
2005-01,0,0,0,44,0
2005-02,0,0,0,38,0
2005-03,0,0,0,71,0
2005-04,0,0,0,44,0
2005-05,0,0,0,31,0
2005-06,0,0,0,23,0
2005-07,0,0,0,55,0
2005-08,0,0,0,30,0
2005-09,0,0,0,21,0
2005-10,0,0,0,32,0
2005-11,0,0,0,45,0
2005-12,0,0,0,19,0
2006-01,0,0,0,28,0
2006-02,0,0,0,23,0
2006-03,0,0,0,44,0
2006-04,0,0,0,21,0
2006-05,0,0,0,24,0
2006-06,0,0,0,36,0
2006-07,0,0,0,30,0
2006-08,0,0,0,19,0
2006-09,0,0,0,36,0
2006-10,8,0,0,29,0
2006-11,0,0,8,24,0
2006-12,0,0,0,42,0
2007-01,0,0,0,36,0
2007-02,0,0,0,15,0
2007-03,0,0,0,20,0
2007-04,0,0,0,28,0
2007-05,0,0,0,48,0
2007-06,0,0,0,28,0
2007-07,0,0,0,18,0
2007-08,0,0,0,38,0
2007-09,0,0,0,25,0
2007-10,0,0,0,23,0
2007-11,0,0,0,27,0
2007-12,0,0,0,8,0
2008-01,0,0,0,21,5
2008-02,0,0,0,12,0
2008-03,0,0,0,29,0
2008-04,0,0,0,24,4
2008-05,0,0,0,24,4
2008-06,0,0,0,27,0
2008-07,0,0,0,17,4
2008-08,0,0,0,13,4
2008-09,0,0,0,16,0
2008-10,0,0,0,16,4
2008-11,0,0,0,13,4
2008-12,0,0,0,36,0
2009-01,0,0,3,12,4
2009-02,0,0,0,25,4
2009-03,0,0,0,21,3
2009-04,0,0,0,27,3
2009-05,0,0,0,14,0
2009-06,0,0,3,27,6
2009-07,0,0,6,13,8
2009-08,0,0,6,24,0
2009-09,0,0,0,13,0
2009-10,0,0,4,18,0
2009-11,0,0,6,12,8
2009-12,0,0,6,21,3
2010-01,0,0,3,19,5
2010-02,0,0,3,12,5
2010-03,0,0,10,27,5
2010-04,0,0,8,25,9
2010-05,0,0,66,25,8
2010-06,0,0,98,13,3
2010-07,0,0,32,26,10
2010-08,0,0,30,22,6
2010-09,0,0,39,20,8
2010-10,0,4,21,22,15
2010-11,0,6,24,21,21
2010-12,0,2,24,13,9
2011-01,0,4,43,23,10
2011-02,0,7,21,19,10
2011-03,0,5,28,21,8
2011-04,0,7,20,22,13
2011-05,0,5,16,13,13
2011-06,0,8,37,16,9
2011-07,0,14,69,16,15
2011-08,0,7,40,18,11
2011-09,0,5,31,14,16
2011-10,2,11,19,26,11
2011-11,0,15,23,19,16
2011-12,0,9,22,18,17
2012-01,0,17,26,18,18
2012-02,0,18,34,25,15
2012-03,0,12,33,17,17
2012-04,0,11,44,22,21
2012-05,0,16,41,28,18
2012-06,0,15,42,24,11
2012-07,0,16,36,21,29
2012-08,0,18,31,18,16
2012-09,0,14,31,25,23
2012-10,0,16,37,14,21
2012-11,0,23,33,17,12
2012-12,1,19,26,22,19
2013-01,0,25,27,18,22
2013-02,0,15,30,17,21
2013-03,0,20,33,21,27
2013-04,1,21,47,23,25
2013-05,0,23,32,19,23
2013-06,0,21,34,22,23
2013-07,0,24,26,27,14
2013-08,0,21,28,16,32
2013-09,0,26,26,19,28
2013-10,0,31,31,24,28
2013-11,0,28,30,25,26
2013-12,0,21,36,17,27
2014-01,0,21,34,24,27
2014-02,0,26,33,24,30
2014-03,0,28,35,20,29
2014-04,0,33,49,26,25
2014-05,0,25,42,28,32
2014-06,0,22,37,18,41
2014-07,0,27,38,21,28
2014-08,1,27,44,23,27
2014-09,0,26,34,23,28
2014-10,1,28,41,24,25
2014-11,0,35,42,26,25
2014-12,0,23,37,18,25
2015-01,0,33,34,20,37
2015-02,0,28,33,27,37
2015-03,0,39,45,24,40
2015-04,1,47,60,28,36
2015-05,0,34,43,22,46
2015-06,0,40,48,24,33
2015-07,0,38,35,19,38
2015-08,2,41,36,15,36
2015-09,4,30,35,20,39
2015-10,8,26,30,23,43
2015-11,2,29,32,25,36
2015-12,3,23,34,21,31
2016-01,5,33,30,26,30
2016-02,10,36,30,30,41
2016-03,9,45,31,25,46
2016-04,6,44,46,21,36
2016-05,10,35,32,27,34
2016-06,7,44,27,25,42
2016-07,8,36,30,21,28
2016-08,7,41,28,21,31
2016-09,14,39,30,19,36
2016-10,12,31,27,26,36
2016-11,14,40,30,29,31
2016-12,10,35,29,20,45
2017-01,10,34,19,19,33
2017-02,33,35,23,30,41
2017-03,27,43,30,32,51
2017-04,23,42,26,31,37
2017-05,19,34,17,23,45
2017-06,22,41,27,22,37
2017-07,14,40,21,18,33
2017-08,20,37,25,17,37
2017-09,16,35,20,21,43
2017-10,19,38,21,21,34
2017-11,18,31,21,24,38
2017-12,10,28,18,17,35
2018-01,14,40,18,19,31
2018-02,15,30,22,20,35
2018-03,16,33,18,27,32
2018-04,12,29,16,24,36
2018-05,11,33,13,19,33
2018-06,15,38,14,21,32
2018-07,13,21,17,23,29
2018-08,11,33,22,15,30
2018-09,10,24,12,19,28
2018-10,13,26,14,19,27
2018-11,9,27,16,24,28
2018-12,8,27,12,19,29
2019-01,9,17,13,15,21
