# MesswertTabelle
#
# M e s s w e r t t a b e l l e  der Reihen:
#
# Q_100000 [297,297] Werte
# q_100000 [297,297] Werte
# q_t_100000 [297,297] Werte
# q_t2_100000 [297,297] Werte
#
#
#y	y	y	y	y	
0,01000	0,02208	0,00041	0,04289	0,01852	
0,01333	0,03272	-0,00634	0,05049	-0,19388	
0,01667	0,04482	-0,00665	0,05719	-0,14839	
0,02000	0,05380	-0,00052	0,06322	-0,00962	
0,02333	0,05950	0,00236	0,06873	0,03968	
0,02667	0,06667	-0,00197	0,07380	-0,02951	
0,03000	0,06645	0,00143	0,07851	0,02154	
0,03333	0,06843	-0,00598	0,08292	-0,08732	
0,03667	0,08120	-0,00183	0,08706	-0,02252	
0,04000	0,08701	-0,00035	0,09095	-0,00401	
0,04333	0,08881	0,00301	0,09464	0,03383	
0,04667	0,08870	0,00241	0,09814	0,02712	
0,05000	0,09799	0,00232	0,10147	0,02366	
0,05333	0,09975	0,00119	0,10464	0,01198	
0,05667	0,10655	0,00492	0,10767	0,04613	
0,06000	0,10800	0,00028	0,11057	0,00260	
0,06333	0,10564	-0,00232	0,11334	-0,02194	
0,06667	0,11291	-0,00610	0,11601	-0,05405	
0,07000	0,11806	-0,00129	0,11857	-0,01095	
0,07333	0,12229	-0,00681	0,12103	-0,05573	
0,07667	0,11639	-0,00185	0,12340	-0,01589	
0,08000	0,12095	-0,00229	0,12568	-0,01894	
0,08333	0,13033	0,00272	0,12789	0,02083	
0,08667	0,12862	-0,00405	0,13002	-0,03147	
0,09000	0,13508	0,00420	0,13208	0,03107	
0,09333	0,13033	-0,00590	0,13407	-0,04526	
0,09667	0,13563	-0,00284	0,13599	-0,02095	
0,10000	0,14197	-0,00505	0,13786	-0,03555	
0,10333	0,13462	-0,00190	0,13967	-0,01412	
0,10667	0,14136	-0,00177	0,14143	-0,01249	
0,11000	0,14364	-0,00654	0,14313	-0,04555	
0,11333	0,14769	0,00795	0,14479	0,05385	
0,11667	0,14708	0,00060	0,14639	0,00405	
0,12000	0,14233	0,00978	0,14796	0,06868	
0,12333	0,15123	-0,00627	0,14948	-0,04143	
0,12667	0,14727	-0,00418	0,15096	-0,02841	
0,13000	0,15761	-0,00159	0,15240	-0,01012	
0,13333	0,15891	-0,00417	0,15380	-0,02622	
0,13667	0,15819	-0,00082	0,15516	-0,00520	
0,14000	0,15643	0,00361	0,15650	0,02309	
0,14333	0,15777	-0,00187	0,15780	-0,01188	
0,14667	0,15910	0,00247	0,15906	0,01552	
0,15000	0,16138	-0,00549	0,16030	-0,03404	
0,15333	0,16113	0,00198	0,16151	0,01231	
0,15667	0,16738	-0,00222	0,16268	-0,01325	
0,16000	0,17048	-0,00472	0,16383	-0,02771	
0,16333	0,17179	0,00242	0,16496	0,01409	
0,16667	0,17151	-0,00198	0,16606	-0,01156	
0,17000	0,17216	0,00278	0,16713	0,01615	
0,17333	0,16892	0,00283	0,16818	0,01678	
0,17667	0,17451	0,00425	0,16921	0,02436	
0,18000	0,17452	0,00087	0,17022	0,00501	
0,18333	0,17605	0,00102	0,17120	0,00581	
0,18667	0,17592	0,00148	0,17217	0,00842	
0,19000	0,17690	-0,00023	0,17311	-0,00131	
0,19333	0,18001	-0,00191	0,17404	-0,01064	
0,19667	0,17678	0,00395	0,17494	0,02234	
0,20000	0,18664	0,00166	0,17583	0,00887	
0,20333	0,18337	-0,00440	0,17670	-0,02402	
0,20667	0,17741	-0,00037	0,17756	-0,00209	
0,21000	0,18648	-0,00580	0,17839	-0,03111	
0,21333	0,18529	-0,00233	0,17921	-0,01258	
0,21667	0,18918	-0,00651	0,18002	-0,03439	
0,22000	0,19016	-0,00172	0,18081	-0,00905	
0,22333	0,18672	0,00199	0,18158	0,01067	
0,22667	0,18483	0,00134	0,18235	0,00726	
0,23000	0,19482	0,00161	0,18309	0,00828	
0,23333	0,19424	-0,00070	0,18383	-0,00358	
0,23667	0,19188	0,00912	0,18455	0,04755	
0,24000	0,19794	-0,00034	0,18526	-0,00173	
0,24333	0,19445	-0,00041	0,18595	-0,00210	
0,24667	0,20320	-0,00298	0,18663	-0,01466	
0,25000	0,19812	0,00195	0,18731	0,00984	
0,25333	0,19659	-0,00407	0,18797	-0,02072	
0,25667	0,19855	0,00551	0,18862	0,02773	
0,26000	0,19870	-0,00092	0,18925	-0,00464	
0,26333	0,19815	-0,00046	0,18988	-0,00231	
0,26667	0,20235	0,00046	0,19050	0,00225	
0,27000	0,19869	0,00323	0,19111	0,01627	
0,27333	0,20035	-0,00450	0,19170	-0,02245	
0,27667	0,20239	-0,00434	0,19229	-0,02146	
0,28000	0,20205	0,00216	0,19287	0,01068	
0,28333	0,20816	0,00095	0,19344	0,00455	
0,28667	0,20769	0,00314	0,19400	0,01510	
0,29000	0,21097	-0,00299	0,19455	-0,01419	
0,29333	0,21093	0,00242	0,19510	0,01146	
0,29667	0,21293	-0,00247	0,19563	-0,01158	
0,30000	0,20806	-0,00460	0,19616	-0,02210	
0,30333	0,20891	-0,00122	0,19668	-0,00584	
0,30667	0,21237	0,00024	0,19719	0,00114	
0,31000	0,20904	0,00102	0,19769	0,00490	
0,31333	0,21205	0,00486	0,19819	0,02291	
0,31667	0,20704	0,00197	0,19868	0,00951	
0,32000	0,21562	-0,00605	0,19916	-0,02807	
0,32333	0,21556	0,00390	0,19964	0,01807	
0,32667	0,21344	-0,00141	0,20010	-0,00660	
0,33000	0,21112	-0,00386	0,20057	-0,01826	
0,33333	0,21197	0,00238	0,20102	0,01124	
